名称,J_shopt href,地址,city,经纬度,tel,time,北京树村丽景苑距离,北京树村丽景苑时间,北京海淀区万家灯火大厦距离,北京海淀区万家灯火大厦时间,北京海淀区上地5号咖啡厅距离,北京海淀区上地5号咖啡厅时间
锦圆香面馆,https://www.dianping.com/shop/k3nLtT3e13sw4GdI,西四环南路23-3号,[北京],"116.278849,39.871419",13126885381,2020/12/6 18:59,21.07 km,32 min,23.77 km,80 min,21.70 km,65 min
宇飞牛肉面,https://www.dianping.com/shop/l11XKsPc8YLUU9tV,二里庄35号楼一层2-2（二里庄物美对面）,[北京],"116.367678,39.994154",62324900,2020/12/4 17:20,10.48 km,22 min,12.95 km,52 min,9.38 km,32 min
面仕沙茶面,https://www.dianping.com/shop/k9mO76lFnwIzAMur,霄云路25号,[北京],"116.462808,39.957932",13810383736,2020/12/3 23:06,25.26 km,40 min,26.01 km,94 min,22.39 km,76 min
秋林菜馆,https://www.dianping.com/shop/H9v65TfauO3lliGU,铁树斜街永乐开元超市斜对面,[北京],"117.028627,40.555566",13621366237,2020/12/1 23:15,23.62 km,29 min,29.71 km,84 min,24.26 km,68 min
食令·精致甜品蛋糕,https://www.dianping.com/shop/k8TrT0isIB8Nnxnt,砚瓦路新城蓝钻苑南区西门21号门面房,[常州],"119.961839,31.805325",13376256118,2020/12/1 9:52,,,,,,
salee BESSOU,https://www.dianping.com/shop/l4OzFpMMI4iUW93n,永康路21号,[上海],"121.458798,31.211434",19512333546,2020/11/30 12:26,,,,,,
幸会潮玩,https://www.dianping.com/shop/kaXuesKrkx4zODJe,酒仙桥路751D·Park北京时尚设计广场A18号楼1层下沉空间（七又五分之一艺术空间）,[北京],"116.498966,39.983323",,2020/11/27 9:58,22.86 km,50 min,26.01 km,104 min,22.40 km,86 min
鐵屋,https://www.dianping.com/shop/H55Wo2YvXyanzkMS,虹梅路3081号虹桥基金小镇63栋（近网球场）,[上海],"121.390355,31.183468",62090253,2020/11/26 9:00,,,,,,
SEL ROSE粉盐甜品店,https://www.dianping.com/shop/G8gO8uYdgI7sENYg,建国路辅路尚8里文创园A座一层A107B室,[北京],"116.509807,39.911114",13552221446,2020/11/16 12:46,32.10 km,61 min,36.48 km,123 min,32.86 km,103 min
大细佬港式餐厅,https://www.dianping.com/shop/HasSF1Pw6f0AVyBR,金沙江路960号华大科技园2号楼3楼302室（浦发银行楼上）,[上海],,68882822,2020/11/9 23:17,,,,,,
LA PLATEA兰蒂地中海餐吧,https://www.dianping.com/shop/l7DM07ymdxcfq7yq,工人体育场北路四号院11号楼,[北京],"116.410218,39.853551",18610376761,2020/11/9 17:42,31.50 km,47 min,34.20 km,102 min,32.13 km,84 min
螺蛳粉先生,https://www.dianping.com/shop/Ga9AVlAfEx4D4Chl,北三环西路5号 蓟门小区商业楼1层,[北京],"116.352819,39.971668",18901245568,2020/11/7 20:59,14.33 km,25 min,15.07 km,62 min,9.94 km,40 min
新川办餐厅,https://www.dianping.com/shop/H86AFbaPUP0M1mTG,小红门路312号北京天府蜀风酒店6-7号楼,[北京],"116.455770,39.849956",87699988,2020/11/5 13:20,34.91 km,54 min,37.61 km,107 min,35.54 km,88 min
西来顺饭庄,https://www.dianping.com/shop/l4UkyVdcX7FwYof2,西长安街街道和平门北新华街116号（北新华街与西交民巷交叉口）,[北京],"116.395072,39.901998",66015189,2020/11/2 12:10,24.58 km,47 min,24.14 km,94 min,20.57 km,71 min
暗香·Wild Yeast,https://www.dianping.com/shop/FxIlCCQgB9h28a7Q,滨盛路2077号潮上中南银座A幢304-305室,[杭州],"120.197725,30.203881",17799836669,2020/11/2 8:40,,,,,,
AK47烤羊腿串吧,https://www.dianping.com/shop/H5DDIOaMbqrJNrRb,马连洼北路柳浪家园万霖科技大厦C座二层,[北京],"116.297377,40.033648",82480600,2020/10/30 18:59,1.67 km,10 min,3.96 km,18 min,1.91 km,8 min
西庭·秀色Turkish Feast,https://www.dianping.com/shop/la2daTbiq1hC2sZs,新东路金尚源SHANG大厦一层115号（金尚源SHANG大厅右转）,[北京],"116.449212,39.948755",64688321,2020/10/30 18:50,26.27 km,39 min,23.82 km,78 min,20.24 km,61 min
扑扑 PUPU,https://www.dianping.com/shop/kar4hDRshJzUhx0I,酒仙桥路4号798艺术区内一层（七星路与陶瓷一街交叉口西北角）,[北京],"116.502118,39.972477",18310259407,2020/10/30 12:09,24.56 km,53 min,31.39 km,108 min,27.77 km,87 min
崔记生活·崔记烤鱼,https://www.dianping.com/shop/HaQxN2K2p5K3g3ez,新平南路平谷文发市场顺利汽车服务中心旁边,[平谷区],"117.100922,40.134567",69985657,2020/10/27 21:19,,,,,,
PokeGo波奇饭,https://www.dianping.com/shop/k4I6iqltB4pAY4dl,东方东路19号院5号楼亮马桥官舍南区B115,[北京],"116.463417,39.950880",13911530731,2020/10/27 12:32,21.61 km,40 min,24.08 km,82 min,20.50 km,64 min
漾亚·雍雅合鲜,https://www.dianping.com/shop/G7hXuOHfdkuqURQd,团结湖路团结湖南里15号恒祥大厦2楼,[北京],"116.466251,39.924647",51399577,2020/10/27 9:24,24.59 km,49 min,27.06 km,97 min,23.48 km,81 min
笑魚 TEMPURA AYA 天麩羅·彩,https://www.dianping.com/shop/l5USPU2rpU42gckp,世纪大道1196号世纪汇广场2座1楼024号（近潍坊路入口）,[上海],"121.527129,31.226738",58777056,2020/10/19 23:04,,,,,,
酉前·Yakitori·烧鸟,https://www.dianping.com/shop/G7V0nLMBwyIqcKEh,盐城路46号1楼,[上海],"121.484452,31.217456",63120655,2020/10/19 23:04,,,,,,
ROCK HOUSE VINTAGE SHOP,https://www.dianping.com/shop/H8WL9yi8D9FrJ4ph,高碑店北路都市经典家园2号楼2305室,[北京],"116.520203,39.913637",18612485225,2020/10/16 12:54,31.87 km,69 min,33.87 km,118 min,30.26 km,99 min
写字台,https://www.dianping.com/shop/ijmaA26Beq4wUOcZ,鼓楼东大街南锣鼓巷19-1号,[北京],"116.403041,39.939769",13253536618,2020/10/10 14:46,17.59 km,39 min,20.07 km,76 min,16.49 km,57 min
季明商店,https://www.dianping.com/shop/G12z29IrWAxuf2lx,鼓楼东大街60号,[北京],"116.405918,39.940741",18811319092,2020/10/10 14:45,17.58 km,37 min,20.05 km,74 min,16.48 km,54 min
原色生活,https://www.dianping.com/shop/k4FL46l39IwI4qqk,酒仙桥路4号北京798艺术区七星东街,[北京],"116.494818,39.985059",57623071,2020/10/10 11:04,23.23 km,52 min,26.37 km,106 min,22.76 km,87 min
寻隐商店,https://www.dianping.com/shop/H8WrZTcsGBcU1mGM,北锣鼓巷65号,[北京],"116.402591,39.943873",15911028708,2020/10/10 11:00,17.52 km,35 min,19.99 km,70 min,16.41 km,53 min
北京铁手咖啡制造总局metalhands,https://www.dianping.com/shop/k9tG7gQprlkwy06f,南阳胡同6号,[北京],"116.413967,39.929245",15676998334,2020/10/10 10:54,20.12 km,45 min,22.59 km,93 min,19.02 km,66 min
PAYA HAIR,https://www.dianping.com/shop/k6krygi5TcYG6zXi,阜通西大街望京sohoT1C座2层1222号,[北京],"116.480012,39.996775",15811454724,2020/10/10 10:16,20.65 km,44 min,22.66 km,85 min,19.04 km,67 min
木卫二 HAIR STYLE,https://www.dianping.com/shop/l8tSpql1AgzQPLwa,芳园西路6号颐锦酒店一楼106号（黄门老灶火锅旁边）,[北京],"116.481135,39.974842",64355662,2020/10/10 10:14,24.88 km,42 min,25.64 km,98 min,22.03 km,80 min
FORNO意角,https://www.dianping.com/shop/jkvMv51hWfaeSHE9,凤凰环路凤凰汇·里巷in street06A商铺,[北京],"116.457353,39.962663",64627447,2020/10/9 18:54,24.74 km,37 min,25.49 km,91 min,21.87 km,74 min
胡金根·胡记炸炸炸,https://www.dianping.com/shop/l9liiVbSx2s4xzkU,太平街马家巷6号,[长沙],"112.549854,28.260906",18613970339,2020/10/6 18:54,,,,,,
75VINTAGE,https://www.dianping.com/shop/l1e1n01jx7zi6rsx,藩城堤巷56号,[长沙],"112.973861,28.197016",15386459942,2020/10/5 14:47,,,,,,
蔺紫の非主流大头贴,https://www.dianping.com/shop/Haa9m8rSjfx46ZHt,太平街84号（茗泰茶舍巷子里）,[长沙],"112.971831,28.193235",85603004,2020/10/5 14:46,,,,,,
一点开门小物市集,https://www.dianping.com/shop/l7lIVrJQo7824mDF,轩辕殿巷123号轩辕殿居民楼,[长沙],"112.974136,28.197016",15799938212,2020/10/5 14:42,,,,,,
安徽阜阳卷馍,https://www.dianping.com/shop/l9UcwOI4OcEn2Hfj,西单北大街西单明珠市场8层,[北京],"116.375915,39.910312",13488825708,2020/10/4 17:36,19.60 km,41 min,22.07 km,86 min,18.50 km,63 min
缘赵记,https://www.dianping.com/shop/H8QFIsMlk9jii4n9,沙子口路8号,[北京],"116.401775,39.865409",15718807400,2020/9/23 18:15,30.79 km,48 min,31.62 km,100 min,31.42 km,83 min
牛街老爆肚满,https://www.dianping.com/shop/laQAoSMKfXad0Upn,朝阳门北小街105号,[北京],"116.425844,39.928413",13521430790,2020/9/21 18:46,20.52 km,45 min,22.99 km,94 min,19.41 km,67 min
萃華楼,https://www.dianping.com/shop/HaLpW5Gz2VP7YZ3M,崇文门外大街3号新世界一期北端二层,[北京],"116.419351,39.896564",67056390,2020/9/21 18:43,27.15 km,56 min,25.70 km,108 min,27.78 km,96 min
白魁老号饭庄,https://www.dianping.com/shop/H1ls2EKDLqAb48ZB,交道口南大街158号,[北京],"116.409065,39.933632",64063611,2020/9/21 18:42,18.52 km,40 min,20.99 km,83 min,17.41 km,60 min
淮扬府,https://www.dianping.com/shop/G5leUTaSm4qGOalp,安定门外大街198号（地坛西门北侧）,[北京],"116.415597,39.958531",64265858,2020/9/21 18:39,17.29 km,35 min,19.76 km,71 min,16.19 km,52 min
静一餐厅,https://www.dianping.com/shop/H1yOvn0RtActNwDp,琉璃厂东街2号,[北京],"116.389337,39.895208",13260236695,2020/9/21 18:39,25.28 km,50 min,25.30 km,101 min,22.00 km,82 min
厚味居炙子烤肉·清真,https://www.dianping.com/shop/H8BHnqvSvdVl2gQb,禄长街南纬路31号院西11-2号,[北京],"116.392350,39.880876",63038599,2020/9/21 18:38,26.58 km,53 min,26.32 km,103 min,22.75 km,79 min
炙子革命老北京烤肉,https://www.dianping.com/shop/G8ZZFLM7aDMzROKL,旧鼓楼大街铃铛胡同25号,[北京],"116.394238,39.942570",84036689,2020/9/21 18:37,16.76 km,32 min,19.23 km,69 min,15.65 km,49 min
清真·鸦儿李记·小馆,https://www.dianping.com/shop/H1QtlIpACYuY2Jnp,鸦儿胡同甲2号店,[北京],"116.393105,39.939524",64031635,2020/9/21 18:36,16.67 km,35 min,19.14 km,68 min,15.57 km,48 min
Alimentari Grill,https://www.dianping.com/shop/H8iBWMWoxrp8deHO,康定路358号3幢101室,[上海],"121.450308,31.235089",62889009,2020/9/20 18:40,,,,,,
Refer,https://www.dianping.com/shop/l2Dn1BCf8jPj0biu,三里屯路太古里北区N8号楼5层,[北京],"116.454404,39.938694",13260337668,2020/9/19 18:04,23.03 km,42 min,25.50 km,87 min,21.93 km,68 min
Good Late Vintage,https://www.dianping.com/shop/j2CSppK3fu7lJ2XS,鼓楼东大街60号,[北京],"116.405918,39.940741",18701208705,2020/9/18 22:14,17.58 km,36 min,20.05 km,74 min,16.48 km,54 min
先启半步颠小酒馆,https://www.dianping.com/shop/G59XIyBpiYAyZoWp,长寿路街道陕西北路1742号（如家酒店隔壁）,[上海],"121.437606,31.246430",15021536608,2020/9/18 21:30,,,,,,
同或绘馆·院儿,https://www.dianping.com/shop/l1hhW4UNfUPpPGk7,金融街购物中心,[北京],"116.359847,39.915415",4006330631,2020/9/18 15:29,20.54 km,36 min,21.37 km,78 min,16.24 km,60 min
聚宝源,https://www.dianping.com/shop/Enk0gTkqu0Cyj7Ch,牛街5-2号,[北京],"116.363861,39.888150",83545602,2020/9/14 23:43,24.17 km,44 min,25.01 km,90 min,19.88 km,72 min
独栋花园别墅女生原木（此价格为单个床位非整间）位于鼓楼大悦城,https://www.dianping.com/shop/H6qeCJMKMHuAfS10,新隆轩,[天津],"117.183100,39.139734",4000660190,2020/9/13 19:05,,,,,,
大哥餐厅,https://www.dianping.com/shop/G1Lf1JHPukDXxkIC,市桥街道西丽南路90号(近华侨城),[广州],"113.351457,22.934309",84607002,2020/9/13 18:59,,,,,,
苏帮袁Sue Cuisine,https://www.dianping.com/shop/G90L5clgd2gEKjp0,东直门南大街1号来福士购物中心5层4号,[北京],"116.432499,39.940133",64330517,2020/9/12 9:49,21.65 km,39 min,24.13 km,96 min,20.55 km,65 min
老吉堂上海本帮菜,https://www.dianping.com/shop/H11a6UzHyH3n2hsT,工人体育场南路15号,[北京],"116.448757,39.926784",85612685,2020/9/12 9:48,24.59 km,48 min,27.06 km,97 min,23.48 km,79 min
Khan Baba REST AUR ANT汗巴巴巴基斯坦餐厅,https://www.dianping.com/shop/k3LfF0hAAI9vJ0Vv,展春园西路蓟鑫大厦A区1层A1-03号,[北京],"116.340075,39.988262",82837740,2020/9/10 17:54,8.32 km,22 min,12.52 km,52 min,6.85 km,30 min
大姐麻辣烫,https://www.dianping.com/shop/G85ijcY8XWb8JS4w,莲怡园北路莲怡园二区一号楼底商,[北京],"116.297169,39.885651",18301365053,2020/9/8 21:55,19.78 km,36 min,22.49 km,82 min,20.42 km,66 min
熊叔熊婶面包房,https://www.dianping.com/shop/l4JGZZfeoEBvs87X,白家庄东里23号枫湾团结湖办公社一层,[北京],"116.455074,39.920428",18513890865,2020/9/6 16:44,25.16 km,51 min,27.63 km,99 min,24.06 km,84 min
黑眼圈·烘焙清真面包·动物奶油蛋糕,https://www.dianping.com/shop/l4KXIyrmmRzavGOl,常惠路北辰福第v中心D座一层102底商,[北京],"116.600637,39.927517",18101383991,2020/9/6 16:43,34.23 km,72 min,36.23 km,117 min,32.62 km,96 min
LePetitPain小面包,https://www.dianping.com/shop/l46AYXx0HYH81zrU,天力街富力城D区北门商铺10-11（麦田地产东侧）,[北京],"116.454262,39.897202",17600321811,2020/9/6 16:42,27.72 km,57 min,30.19 km,110 min,26.62 km,89 min
新新湘菜馆,https://www.dianping.com/shop/k5IApzyUQShq3KYZ,新中街二条8号,[北京],"115.760844,39.561119",13611318705,2020/9/2 13:17,21.75 km,42 min,24.22 km,93 min,20.65 km,64 min
GONTRAN CHERRIER·GC可颂,https://www.dianping.com/shop/G3ncuOwhbauIh9On,朝阳北路朝阳大悦城2F-72,[北京],"116.518203,39.924719",85817529,2020/9/2 13:17,31.31 km,68 min,33.31 km,116 min,29.70 km,96 min
二道桥1881西域吃在楼兰,https://www.dianping.com/shop/l93zLq1Yq5BITVM1,花园路171号A6,[上海],"121.475388,31.272469",15317326227,2020/9/1 22:48,,,,,,
伊祥·敦煌楼,https://www.dianping.com/shop/G8ET9NkIAiL6uavk,中山北路2212号甘肃敦煌大厦1-4楼,[上海],"121.429080,31.246393",52904792,2020/9/1 22:48,,,,,,
胖胖君的新疆抓饭,https://www.dianping.com/shop/l3P7MYGEsUyoYVRW,乍浦路211号,[上海],"121.487243,31.248105",15628281869,2020/9/1 22:48,,,,,,
疆Jiang·新疆秘制料理,https://www.dianping.com/shop/G6erSkmAMD4vDKWW,淮海中路282号香港广场北座四层（近黄陂南路地铁2号口、苹果专卖店楼上）,[上海],"121.474725,31.223792",18019440096,2020/9/1 22:47,,,,,,
新疆喀什烤肉饭店,https://www.dianping.com/shop/k3ku095QmqeP6G3J,红松路194号,[上海],"121.371230,31.182093",15900417183,2020/9/1 22:47,,,,,,
麦迪娜餐厅,https://www.dianping.com/shop/G3UXPW9wFYHn15eM,斜土路556弄小区,[上海],"121.475905,31.202531",63054473,2020/9/1 22:47,,,,,,
胜负餐厅,https://www.dianping.com/shop/ka56UKSi63VUmgeD,学院路街道王庄路33号楼2层(火炉火楼上),[北京],"116.339385,39.992513",,2020/8/30 10:36,8.20 km,22 min,12.39 km,54 min,6.72 km,32 min
日进一片海.生腌海鲜火锅.宵夜烧烤,https://www.dianping.com/shop/jT2s4TM902cEsEPC,"南三里屯路中宇大厦一层010C室（近中宇大厦南1门,机电院西门）",[北京],"116.456619,39.930604",,2020/8/14 13:01,24.01 km,47 min,26.48 km,94 min,22.91 km,77 min
龙大婶饽饽铺,https://www.dianping.com/shop/G7qUAYpROotD47Lu,东交民巷小学（西校区）,[北京],"116.412658,39.903419",65129770,2020/8/13 17:11,25.99 km,49 min,24.54 km,98 min,26.62 km,89 min
达磨,https://www.dianping.com/shop/G9Fb8IFwGrIe6s71,工人体育场北路三里屯SOHO2号商场5层515室,[北京],"116.454007,39.932658",15611198578,2020/8/13 17:11,23.55 km,47 min,26.02 km,108 min,22.45 km,79 min
石榴红了疆滋疆味·清真,https://www.dianping.com/shop/k3gPTwHebPmov52R,杏坛路44号院K座3楼304号,[北京],"116.360595,39.966329",53822178,2020/8/7 17:52,14.77 km,25 min,16.27 km,61 min,11.14 km,40 min
诗魅裹面皮,https://www.dianping.com/shop/G5kIaHUauj9llNwm,凤城四路10号院（陕交院本部北门）,[西安],"108.940299,34.326530",18709270037,2020/8/3 19:19,,,,,,
泸州幺妹私房菜,https://www.dianping.com/shop/G1yh36l8S36G8V7D,望花路西里23号,[北京],"116.470140,39.989390",18514479889,2020/7/30 20:47,21.19 km,42 min,23.20 km,85 min,19.58 km,68 min
沈记菜馆,https://www.dianping.com/shop/G6y5kNkboVvdayNk,酒仙桥街道酒仙桥路4号798艺术区内中一路北口(798的5号停车场),[北京],"116.495620,39.984362",59789053,2020/7/30 20:39,23.22 km,52 min,26.36 km,105 min,22.75 km,87 min
九九豆花馆,https://www.dianping.com/shop/H7ZFrWut1ifZ9fuF,新华路道门口9号附5号,[重庆],"106.584018,29.559135",,2020/7/30 18:01,,,,,,
GABU創作串烧,https://www.dianping.com/shop/l7ptDIaTus929cSA,小亮马桥西路6号院华远九都汇7号楼商业中心B1层,[北京],"116.465958,39.957276",13581801478,2020/7/27 17:40,25.27 km,40 min,26.01 km,95 min,22.40 km,77 min
水裹·汤泉,https://www.dianping.com/shop/G8lxxf6z8H1WgugX,高碑店乡半壁店村惠河南街1062号,[北京],"116.508169,39.905589",4008393777,2020/7/18 21:00,33.03 km,64 min,33.78 km,122 min,30.16 km,108 min
讲麦堂JiangMaiTang,https://www.dianping.com/shop/H4Iu0Y5tERAg76R0,朝外大街6号新城国际14号楼103室,[北京],"116.456194,39.917703",65970724,2020/7/17 18:28,25.08 km,51 min,27.55 km,100 min,23.98 km,84 min
popot博朴,https://www.dianping.com/shop/l9kgPkeM2RTm8TfL,建国西路283号尚街LOFT3幢109室,[上海],"121.459534,31.205202",17621056124,2020/7/16 21:34,,,,,,
觉味燃面,https://www.dianping.com/shop/H5Y1OT2fTUacg48w,商城路2000号108室（香又满便利超市旁边）,[上海],"121.538950,31.238161",13601963048,2020/7/16 20:52,,,,,,
峨眉山原汁双双烧烤,https://www.dianping.com/shop/k34aW9s0kfFjnprm,金沙北一路西沙湾现代城,[成都],"104.046550,30.691464",87669166,2020/7/13 20:29,,,,,,
愈舍YUSPA,https://www.dianping.com/shop/k5oBxJQ8OwkyehbO,朝阳门外大街朝外SOHOA座B1层B107-B108,[北京],"116.454550,39.919869",4008010150,2020/7/12 20:10,25.14 km,51 min,27.61 km,100 min,24.03 km,83 min
葱间NEGIMA,https://www.dianping.com/shop/j6Qwu6HEPW7iZd7x,天河路383号太古汇商场MU43b（石牌桥D出口上一层）,[广州],"113.330472,23.133859",83980424,2020/7/10 11:43,,,,,,
百姓菜篮子,https://www.dianping.com/shop/l9gwOLSx3MfyMz1n,广渠路116号,[北京],"116.465932,39.889012",17171092222,2020/7/6 21:45,28.39 km,63 min,30.86 km,112 min,27.28 km,97 min
婕妮王超市,https://www.dianping.com/shop/H8CRliwgNEAPHo8X,馨园一路2号院荣祥广场1层,[北京],"116.546701,40.062561",80463302-0,2020/7/6 21:30,32.91 km,54 min,34.92 km,101 min,31.30 km,83 min
宜家·瑞典食品屋,https://www.dianping.com/shop/k9GCw8yX7ukrwa7k,西红门地区宏福西路临2号1楼(宜家家居1层),[北京],"116.324529,39.789126",18515526272,2020/7/6 21:26,42.26 km,47 min,48.34 km,109 min,42.89 km,93 min
苦尽酒馆·川菜,https://www.dianping.com/shop/k7r89rMUaMzRDekT,地安门外大街12号,[北京],"116.396161,39.939981",13366200329,2020/7/6 21:24,16.73 km,33 min,19.20 km,69 min,15.63 km,50 min
203密室体验馆·逃脱,https://www.dianping.com/shop/FG4zedg5NABpsTBh,朝外市场街日坛国际贸易中心B座4层4A50室,[北京],"116.442495,39.920155",18612239203,2020/7/6 17:49,23.52 km,46 min,25.99 km,106 min,22.41 km,78 min
三太子沉浸式国潮密室,https://www.dianping.com/shop/EssnruBbLaLzNDgl,朝阳路大黄庄35号（原瑞丰市场内）,[北京],"116.539610,39.918065",15801663524,2020/7/6 17:44,32.59 km,66 min,34.59 km,115 min,30.98 km,96 min
游娱联盟沉浸式实景娱乐体验园,https://www.dianping.com/shop/ilKtPaAQl81dPdYn,高碑店路王四营乡政府对面游娱联盟园内（近东北门）,[北京],"116.530903,39.875215",4001663666,2020/7/6 17:44,36.38 km,71 min,38.39 km,127 min,34.77 km,107 min
空白·沉浸式剧本杀,https://www.dianping.com/shop/H6NpfTj0oy0WTTo2,知春路108号豪景大厦C座17楼1705室,[北京],"116.322164,39.975515",13126656515,2020/7/6 17:42,10.38 km,23 min,10.69 km,46 min,7.17 km,30 min
Only Flowers只和花,https://www.dianping.com/shop/H26bZmLBtnecQRlp,和平里西街安外东河沿1号,[北京],"116.415093,39.950137",64226646,2020/7/6 17:35,18.00 km,37 min,20.47 km,68 min,16.89 km,50 min
FunkyDogg时髦热狗,https://www.dianping.com/shop/laMI4BAC0QHceEEE,朝外大街乙6号朝外SOHO A座一层0190号（CBD 世贸天阶万通中心）,[北京],"116.456589,39.919833",18710063906,2020/7/6 17:33,25.32 km,51 min,27.79 km,100 min,24.21 km,83 min
天坛街自助餐厅,https://www.dianping.com/shop/k8oWfSaMOrBz55dt,"祈年大街8号新世界酒店1层(近地铁2号线,5号线崇文门站)",[北京],"116.417997,39.901819",59608855,2020/7/6 17:30,26.50 km,52 min,25.08 km,98 min,27.13 km,91 min
和木The Home·私厨,https://www.dianping.com/shop/l8xdPHNXPyK7V72C,安定门街道汤公胡同19号(旧鼓楼大街与汤公胡同交叉口旁),[北京],"116.395219,39.943216",18612988802,2020/7/6 17:20,16.97 km,32 min,19.44 km,66 min,15.86 km,50 min
念念行旅杂志馆,https://www.dianping.com/shop/G47KEF0NFz3RNcRl,东四北大街69号,[北京],"116.416485,39.939346",84015688,2020/7/6 16:06,18.63 km,42 min,21.10 km,81 min,17.53 km,61 min
朝阳区图书馆,https://www.dianping.com/shop/GaebsX1CatCM9DpO,广渠路66号3号楼（双井百环家园内）,[北京],"116.464774,39.889424",87716300,2020/7/6 16:03,28.03 km,62 min,30.50 km,112 min,26.92 km,96 min
北京灵动壁球中心,https://www.dianping.com/shop/k8QxEtADSQS4ABGQ,顺白路红厂设计创意产业园E座,[北京],"116.476926,40.040873",13051698315,2020/7/6 16:02,20.21 km,40 min,22.21 km,82 min,18.60 km,66 min
VS SPORTS PARK运动玩乐园·团建·生日会,https://www.dianping.com/shop/H1DXX0qX5NbLhl1f,西大望路合生汇B3层（优衣库楼下、近14号线九龙山站B口）,[北京],"116.478879,39.893210",13269535575,2020/7/6 13:32,33.16 km,65 min,40.66 km,130 min,27.66 km,98 min
牛角烧肉,https://www.dianping.com/shop/EbZYi2PhXDEjC7Cl,西大望路甲22号院1号楼101内5层L5-18号,[北京],"116.481926,39.893639",87796077,2020/7/4 9:32,32.91 km,64 min,33.65 km,120 min,30.04 km,107 min
板前十胜·和牛烧肉专门店,https://www.dianping.com/shop/G6KeVfRgAOACdDbG,旧鼓楼大街121号,[北京],"116.393784,39.943039",18511158517,2020/7/4 9:13,16.89 km,32 min,19.36 km,67 min,15.78 km,49 min
APARTMENT101,https://www.dianping.com/shop/l3QqfGU4NXHknbmg,半截塔路将府公园郎园Station内A1-10,[北京],"116.514779,39.966040",53322083,2020/7/4 9:11,28.15 km,61 min,30.15 km,104 min,26.54 km,84 min
売泰,https://www.dianping.com/shop/l6wvF1Na1U6Yf5FE,工人体育场北路2号盈科中心负一层（绿叶子对面）,[北京],"116.458974,39.932654",17812246778,2020/7/3 18:39,23.75 km,46 min,26.22 km,96 min,22.65 km,78 min
虎丸烧肉,https://www.dianping.com/shop/H1WBKdUEyBNbQemu,天山路341号缤谷广场西座3楼302B室（靠近威宁路）,[上海],"121.384850,31.206972",62470791,2020/7/3 17:56,,,,,,
章記新加坡餐厅,https://www.dianping.com/shop/GazVKFmBOUKC5WbW,甜水园街甜水西园万科公园5号底商建行旁边（距地铁6/14号线西北E口步行66m）,[北京],"116.477796,39.925790",82220388,2020/7/3 16:29,29.58 km,58 min,30.32 km,112 min,26.71 km,96 min
青岛小院,https://www.dianping.com/shop/G6fs7oKODqWxylRQ,宋庄镇宋翟路喇嘛庄村138号,[北京],"116.734052,39.960775",13240020858,2020/7/3 16:25,51.14 km,70 min,53.15 km,121 min,49.53 km,100 min
三诚私房菜馆,https://www.dianping.com/shop/H2LGfzHXxlNJIujy,凉塘路杉星宿舍六栋一楼,[长沙县],"113.076499,28.241952",18774978282,2020/7/1 19:18,,,,,,
文昌打边炉·正宗铺前糟粕醋,https://www.dianping.com/shop/icE4IsTwrGt2FUqZ,霄云路15_28号，霄云后街,[北京],"116.467142,39.961395",13810225789,2020/6/29 23:11,24.60 km,38 min,25.34 km,93 min,21.73 km,74 min
Jamaicablue Coffeeshop,https://www.dianping.com/shop/l6OTlXzYt7oMMD3C,朝阳公园南路10号院骏豪·中央公园广场A7-7,[北京],"116.477487,39.931271",65064100,2020/6/28 9:55,29.04 km,58 min,29.79 km,110 min,26.17 km,94 min
Jamaicablue Coffeeshop,https://www.dianping.com/shop/k7G5TgcfKgflAWm9,甜水园东街公园大道生活广场1楼4-3号,[北京],,85874568,2020/6/28 9:55,59.97 km,59 min,66.05 km,120 min,60.60 km,106 min
安妮意大利餐厅,https://www.dianping.com/shop/EcJ8BMN4hZEJGasY,神路街39号日坛上街3-108号（朝阳区人民政府南门斜对面）,[北京],"116.442687,39.920619",85693031,2020/6/22 23:03,23.52 km,46 min,25.99 km,106 min,22.41 km,79 min
Totino Panino,https://www.dianping.com/shop/k5xTYe7VjPvZdXcN,康定路358弄越界陕康里3号楼1层106号,[上海],"121.450109,31.235136",13918410140,2020/6/22 22:51,,,,,,
来翠面馆,https://www.dianping.com/shop/G5pYXSBGTU1jDJZf,集贸路315号,[杭州],"112.118268,30.221745",15824450400,2020/6/22 22:50,,,,,,
CAFE LANDMARK,https://www.dianping.com/shop/l3bqeQEzrCSXyWFR,王府井大街269号王府中环购物中心东座2层,[北京],"116.409560,39.912438",65256623,2020/6/20 9:18,20.86 km,47 min,23.33 km,90 min,19.75 km,71 min
光头匠,https://www.dianping.com/shop/H8uuzvM6NyiVSeIJ,吴中路1068号燎申大厦二楼C室,[上海],"121.386758,31.177628",34120337,2020/6/19 10:38,,,,,,
条儿皇酥鱼,https://www.dianping.com/shop/H8Yw7sLucIjqiwyW,小河街道和睦路47号(杭州杨家门农副产品综合市场旁),[杭州],"120.140457,30.298231",18958026792,2020/6/17 7:54,,,,,,
仙居吴佳烤鸡,https://www.dianping.com/shop/k4rOUFdvdppLxp1Z,五安路与采菱东路交叉口东北60米,[杭州],"120.197927,30.254761",13105666299,2020/6/17 7:54,,,,,,
采荷光头卤鸭,https://www.dianping.com/shop/H9TaAdgyRQpImc6t,仙林桥直街6号仙林苑农贸市场二楼,[杭州],"120.171106,30.261115",18605889646,2020/6/17 7:53,,,,,,
